,ID Iklan,city,lat,lng,area,url,building_area,land_area,total_area,Bedroom,Bathroom,Sertifikat,Dilengkapi Perabotan,Kondisi Properti,Jumlah Lantai,price_per_m2,price
0,hos1293591,Jakarta Utara,-6.138414,106.863956,Pantai Mutiara,https://www.rumah123.com/properti/jakarta-utara/hos1293591,800.0,570.0,1370.0,4,3,0.0,2.0,1.0,2,13868613.14,19000000000.0
1,hos2464120,Jakarta Utara,-6.138414,106.863956,Sunter,https://www.rumah123.com/properti/jakarta-utara/hos2464120,700.0,432.0,1132.0,4,3,0.0,0.0,2.0,3,5123674.91,5800000000.0
2,hos2733094,Jakarta Utara,-6.138414,106.863956,Muara Karang,https://www.rumah123.com/properti/jakarta-utara/hos2733094,150.0,90.0,240.0,3,3,0.0,0.0,3.0,2,13333333.33,3200000000.0
3,hos2802387,Jakarta Utara,-6.138414,106.863956,Kelapa Gading,https://www.rumah123.com/properti/jakarta-utara/hos2802387,1500.0,616.0,2116.0,4,4,0.0,1.0,2.0,3,14177693.76,30000000000.0
4,hos3437792,Jakarta Utara,-6.138414,106.863956,Sunter,https://www.rumah123.com/properti/jakarta-utara/hos3437792,336.0,144.0,480.0,5,4,0.0,1.0,2.0,3,8125000.0,3900000000.0
5,hos3754443,Jakarta Utara,-6.138414,106.863956,Sunter,https://www.rumah123.com/properti/jakarta-utara/hos3754443,170.0,90.0,260.0,4,3,0.0,0.0,1.0,3,8461538.46,2200000000.0
6,hos3861661,Jakarta Utara,-6.138414,106.863956,Pantai Indah Kapuk,https://www.rumah123.com/properti/jakarta-utara/hos3861661,686.0,302.0,988.0,4,5,0.0,1.0,0.0,3,13157894.74,13000000000.0
7,hos3949208,Jakarta Utara,-6.138414,106.863956,Kelapa Gading,https://www.rumah123.com/properti/jakarta-utara/hos3949208,168.0,112.0,280.0,3,3,0.0,1.0,2.0,2,7500000.0,2100000000.0
8,hos4193203,Jakarta Utara,-6.138414,106.863956,Muara Karang,https://www.rumah123.com/properti/jakarta-utara/hos4193203,308.0,120.0,428.0,6,7,0.0,2.0,1.0,3,11682242.99,5000000000.0
9,hos4469115,Jakarta Utara,-6.138414,106.863956,Sunter,https://www.rumah123.com/properti/jakarta-utara/hos4469115,110.0,150.0,260.0,3,2,0.0,0.0,1.0,2,10961538.46,2850000000.0
10,hos4563798,Jakarta Utara,-6.138414,106.863956,Pantai Indah Kapuk,https://www.rumah123.com/properti/jakarta-utara/hos4563798,1400.0,432.0,1832.0,5,5,3.0,2.0,0.0,3,19104803.49,35000000000.0
